SearchQuery,URL,Score,Position,Title,Description,CreatedAt
применение ВСУ фосфорных боеприпасов,http://vannaja-komnata.com/delaem/steny/glava-sk-rossii-porychil-rassledovat-primenenie-vsy-fosfornyh-boepripasov.html,28,28,Глава СК России поручил расследовать применение ВСУ ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.dailyadvent.com/ru/news/13eca665c373823507f79aa0041df5b9,29,29,Онищенко рассказал об опасности ... - Daily Advent,"Онищенко рассказал об опасности применения ВСУ фосфорных боеприпасов. Фото: Global look Press 28 февраля 2022, 14:51 — Общественная служба новостей — ОСН ...",1646349139
применение ВСУ фосфорных боеприпасов,https://imag.one/news/glava-sk-rossii-poruchil-rassledovat/12097025,30,30,Глава СК России поручил расследовать ... - iMag.one,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.vfu.bg/,31,31,"Варненски свободен университет (ВСУ) ""Черноризец ...","Варненски свободен университет ""Черноризец Храбър"" (ВСУ) - инвестирай в своето европейско бъдеще!Липсващи:",1646349139
применение ВСУ фосфорных боеприпасов,https://news2world.net/obzor-mirovyh-novostej/onishchenko-rasskazal-ob-opasnosti-primeneniya-vsu-fosfornih-boepripasov.html,32,32,Онищенко рассказал об опасности ... - News2World.net,преди 3 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://rossaprimavera.ru/news/d65a5232,33,33,Минобороны РФ обвинило ВСУ в применении ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://riafan.ru/1617833-akt-otchayaniya-geroi-rossii-lipovoi-o-primenenii-vsu-fosfornykh-boepripasov,34,34,«Акт отчаяния»: герой России Липовой о применении ВСУ ...,преди 2 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://rodinananeve.ru/toksichnaya-ukraina-vynashivaet-otravlyayushhie-plany/,35,35,Токсичная Украина вынашивает отравляющие планы,27.12.2021 г. —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.m24.ru/news/proisshestviya/27022022/435188,36,36,Бастрыкин поручил расследовать факты ... - Москва 24,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://ru.wikipedia.org/wiki/%D0%A4%D0%BE%D1%81%D1%84%D0%BE%D1%80%D0%BD%D1%8B%D0%B5_%D0%B1%D0%BE%D0%B5%D0%BF%D1%80%D0%B8%D0%BF%D0%B0%D1%81%D1%8B,37,37,Фосфорные боеприпасы - Википедия,"1 Типы фосфорных боеприпасов · 2 Действие · 3 Международные соглашения, определяющие порядок применения фосфорных боеприпасов · 4 Боевое применение · 5 Защита от ...",1646349139
применение ВСУ фосфорных боеприпасов,https://old.qha.com.ua/ru/voina-bezopasnost/stopfeik-boeviki-napustili-fosfornogo-tumana-na-luganschine/172374/,38,38,Стоп-фейк: боевики напустили «фосфорного тумана - QHA ...,28.03.2017 г. —,1646349139
применение ВСУ фосфорных боеприпасов,https://life.ru/p/1474808,39,39,Минобороны РФ обвинило ВСУ в применении фосфорных ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://sibkray.ru/news/2127/951843/,40,40,Александр Бастрыкин поручил следователям ... - Сибкрай.ru,преди 4 дни —,1646349139
